bill_id,policy_area,subjects,introduced_at,official_title,short_title,congress_term,has_keywords,regulation,related_sentences
hr68-104,Crime and Law Enforcement,Administrative fees|Bank accounts|Bank records|Congressional reporting requirements|Consumer credit|Counterintelligence|Covert operations|Criminal investigation|Damages|Disciplining of employees|Espionage|Federal employees|Financial institutions|Foreign agents|Government paperwork|Injunctions|Legal fees|Liability (Law)|Punitive damages|Right of privacy|State-sponsored terrorism,1995-01-04,To amend the Fair Credit Reporting Act to provide for disclosures by consumers reporting agencies to the Federal Bureau of Investigation for counterintelligence purposes.,FBI Counterintelligence Act of 1995,104,0,,
s3-104,Crime and Law Enforcement,"Administration of criminal justice|Administrative procedure|Airports|Americans in foreign countries|Armed forces abroad|Arrest|Arson|Assault|Authorization|Automobile theft|Aviation safety|Block grants|Boats and boating|Capital punishment|Compensation for victims of crime|Confession (Law)|Congressional reporting requirements|Conspiracy|Correctional institutions|Counterfeiting|Court records|Criminal investigation|Criminal procedure|Damages|Department of Defense|Department of Justice|Department of Transportation|Department of the Treasury|Deportation|Disciplining of employees|District courts|Drug abuse|Drug law enforcement|Drugs and youth|Electronic surveillance|Evidence (Law)|Exclusionary rule (Evidence)|Explosives|Extradition|Family violence|Federal Prison Industries, Inc.|Federal aid to law enforcement agencies|Federal employees|Federal officials|Fines (Penalties)|Firearms|Frivolous lawsuits|Government corporations|Government liability|Government paperwork|Government procurement|Habeas corpus|Hate crimes|Homicide|Illegal aliens|Imprisonment|International cooperation|Jurisdiction|Jury selection|Juvenile corrections|Juvenile delinquency|Kidnapping|Larceny|Law enforcement officers|Legal ethics|Legal fees",1995-01-04,"A bill to control crime, and for other purposes.",Violent Crime Control and Law Enforcement Improvement Act of 1995,104,0,,
s276-104,Crime and Law Enforcement,Bank fraud|Fraud|Small business,1995-01-25,"A bill to provide for criminal penalties for defrauding financial institutions carrying out programs under the Small Business Act and the Small Business Investment Act of 1958, and for other purposes.",Small Business Financial Institution Protection Act,104,0,,
s1009-104,Crime and Law Enforcement,Counterfeiting|Criminal investigation|Government securities|Postal crimes|Securities fraud,1995-06-30,"A bill to prohibit the fraudulent production, sale, transportation, or possession of fictitious items purporting to be valid financial instruments of the United States, foreign governments, States, political subdivisions, or private organizations, to increase the penalties for counterfeiting violations, and for other purposes.",Financial Instruments Anti-Fraud Act of 1995,104,0,,
s1211-104,Crime and Law Enforcement,Accounting|Administration of criminal justice|Collection of accounts|Community service (Punishment)|Compensation for victims of crime|Congressional reporting requirements|Contempt of court|Criminal justice information systems|Criminal procedure|Data banks|Electronic data processing|Federal aid to law enforcement agencies|Government paperwork|Government trust funds|Injunctions|Legislation|Liens|Parole|Probation|Sentences (Criminal procedure)|State laws|Victims of crimes,1995-09-06,"A bill to provide incentive grants to States to improve methods of ordering, collecting, and enforcing restitution to victims of crime, and for other purposes.",Restitution and Responsibility Act,104,0,,
s1215-104,Crime and Law Enforcement,Burglary protection|Citizen participation in crime prevention|Community development|Community development corporations|Community policing|Crime prevention|Drug abuse|Drug law enforcement|Economic development|Enterprise zones|Evaluation research (Social action programs)|Eviction|Federal aid to community development|Federal aid to housing|Federal aid to law enforcement agencies|Infrastructure|Narcotic traffic|Police-community relations|Urban affairs|Violence,1995-09-06,"A bill to evaluate the effectiveness of certain community efforts in coordination with local police departments in preventing and removing violent crime and drug trafficking from the community, in increasing economic development in the community, and in preventing or ending retaliation by perpetrators of crime against community residents, and for other purposes.",Neighborhood Security Act,104,0,,
s1331-104,Crime and Law Enforcement,Accounting|Agricultural credit|Agricultural economics|Ammunition|Annuities|Bank directors|Bank employees|Bank examination|Bank fraud|Bank loans|Bank robberies|Bribery|Civil Service pensions|Claims|Common carriers|Counterfeiting|Credit unions|Criminal negligence|Criminal procedure|Debt|Destruction of property|Dividends|Drug abuse|Embezzlement|Explosives|Extortion|Federal employees|Federal officials|Fines (Penalties)|Foreign banks and banking|Forgery|Fraud|Gifts|Government property|Government securities|Indemnity|Indian lands|Interstate commerce|Judicial officers|Larceny|Loans|Lumber trade|Manpower training programs|Minorities|Misconduct in office|Narcotic traffic|National forests|Postal crimes|Power of attorney|Receiving stolen goods|Sentences (Criminal procedure)|Torts|Trees|Trusts and trustees|Wages,1995-10-18,"A bill to adjust and make uniform the dollar amounts used in title 18 to distinguish between grades of offenses, and for other purposes.",Title 18 Uniformity Act of 1995,104,0,,
s1332-104,Crime and Law Enforcement,"Abandonment of family|Airports|Alien labor|Ammunition|Arrest|Bail|Bank fraud|Bank loans|Bank robberies|Burglary|Censorship|Child support|Civil rights enforcement|Classified defense information|Conspiracy|Contempt of court|Correctional personnel|Counterfeiting|Credit unions|Criminal investigation|Criminal procedure|Destruction of property|Detention of persons|Drug abuse|Drug law enforcement|Espionage|Explosives|Firearms|Firearms control|Flammable materials|Forgery|Fraud|Fugitives from justice|Gangs|Imports|Juvenile delinquency|Labor disputes|Law enforcement officers|Licenses|Marine and coastal resources, fisheries|Murder|Narcotic traffic|Offshore structures|Passports|Poisons|Postal crimes|Prison labor|Prison violence|Prosecution|Sentences (Criminal procedure)|State officials and employees|Subpoena|Territories (U.S.)|Violence|Visas|Witnesses",1995-10-18,"A bill to clarify the application of certain Federal criminal laws to territories, possessions, and commonwealths, and for other purposes.",Possessions and Territories Criminal Law Clarification Act,104,0,,
hr2553-104,Crime and Law Enforcement,Buy American|Congressional reporting requirements|Corrections|Government corporations|Prison labor,1995-10-26,"To provide for pilot programs conducted by the Federal Prison Industries to test the feasibility of meeting the need for increased employment of Federal prisoners by producing items, for the private market, in conjunction with private United States firms, that would otherwise be produced by foreign labor.",Prison Inmate Training and Rehabilitation Act of 1995,104,0,,
s1797-104,Crime and Law Enforcement,"Buy American|Corrections|Diversification in industry|Federal Prison Industries, Inc.|Government corporations|Government paperwork|Government procurement|New products|Prison labor|Product development",1996-05-23,"A bill to revise the requirements for procurement of products of Federal Prison Industries to meet needs of Federal agencies, and for other purposes.",,104,0,,
