bill_id,policy_area,subjects,introduced_at,official_title,short_title,congress_term,has_keywords,regulation,related_sentences
s1557-104,Crime and Law Enforcement,Business intelligence|Compensation for victims of crime|Conspiracy|Electronic surveillance|Export controls|Extraterritoriality|Fines (Penalties)|Foreign agents|Foreign corporations|Forfeiture|Fraud|Government trust funds|Import restrictions|Larceny|Sentences (Criminal procedure)|Wiretapping,1996-02-01,"A bill to prohibit economic espionage, to provide for the protection of United States vital proprietary economic information, and for other purposes.",Economic Security Act of 1996,104,1,,
hr2986-104,Crime and Law Enforcement,Automated teller machines|Counterfeiting|Debit cards|Fines (Penalties)|Forfeiture|Fraud|Government securities|Negotiable instruments|Secret service|Securities|Securities fraud,1996-02-28,"To establish a criminal penalty for the production, sale, transportation, or possession of fictitious financial instruments purporting to be instruments issued by a public or private entity, to require forfeiture of counterfeit access devices, and for other purposes.",Financial Crimes Prevention Act of 1996,104,1,,
hr2992-104,Crime and Law Enforcement,Administration of criminal justice|Administration of juvenile justice|Administrative remedies|Aliens|Appellate courts|Appellate procedure|Arson|Assault|Authorization|Automobile theft|Bail|Block grants|Bribery|Burglary|Capital punishment|Collection of accounts|Community development corporations|Community service (Punishment)|Community-based corrections|Compensation for victims of crime|Congressional reporting requirements|Correctional institutions|Counterfeiting|Court records|Courts of special jurisdiction|Crime prevention|Criminal investigation|Criminal justice information|Criminal justice information systems|Criminal procedure|Criminal statistics|Damages|Death and dying|Delinquency prevention|Department of Justice|Deportation|Discrimination in criminal justice administration|District courts|Dropouts|Drug abuse|Drug law enforcement|Drug testing|Educational policy|Elementary and secondary education|Equipment and supplies|Evidence (Law)|Executive reorganization|Federal aid to community development|Federal aid to law enforcement agencies|Federal aid to youth services|Federal-local relations|Federal-state relations|Fingerprints|Forgery|Fraud|Frivolous lawsuits|Fugitives from justice|Gambling|Gangs|Government paperwork|Habeas corpus|Homicide|Identification devices|Illegal aliens|Imprisonment|Informers,1996-02-29,To combat crime.,Crime Prevention and Family Protection Act of 1996,104,1,,
s3-105,Crime and Law Enforcement,AIDS (Disease)|Administration of juvenile justice|Administrative procedure|Advertising|Airports|Alcohol and youth|Alcoholism treatment|American economic assistance|American military assistance|Americans employed in foreign countries|Americans in foreign countries|Animal rights movement|Appellate procedure|Armed forces abroad|Arrest|Arson|Assault|Assault weapons|Athletes|Authorization|Bacteria|Bank fraud|Biological weapons|Block grants|Bombings|Boxing|Bribery|Burglary|Cable television|Capital punishment|Carjacking|Chemical weapons|Child abuse|Child pornography|Churches|Community-based corrections|Compensation for victims of crime|Confession (Law)|Congress and foreign policy|Congressional oversight|Congressional reporting requirements|Conspiracy|Correctional institutions|Correctional personnel|Counterfeiting|Counterintelligence|Court records|Crime prevention|Crimes against women|Criminal investigation|Criminal statistics|Damages|Delegation of powers|Delinquency prevention|Department of Defense|Department of Health and Human Services|Department of Justice|Depressed areas|Diplomacy|Disabled|District courts|District of Columbia|Drug abuse|Drug abuse prevention|Drug abuse treatment|Drug courts,1997-01-21,"A bill to provide for fair and accurate criminal trials, reduce violent juvenile crime, promote accountability by juvenile criminals, punish and deter violent gang crime, reduce the fiscal burden imposed by criminal alien prisoners, promote safe citizen self-defense, combat the importation, production, sale, and use of illegal drugs, and for other purposes.",Omnibus Crime Control Act of 1997,105,1,,
hr695-105,Crime and Law Enforcement,Administrative procedure|American economic assistance|American military assistance|Business intelligence|Computer crimes|Computer industry|Computer networks|Computer security measures|Computer software|Computers|Computers and government|Conferences|Congressional oversight|Congressional reporting requirements|Consumer goods|Copyright|Counterintelligence|Criminal investigation|Criminal justice information|Criminal liability|Cryptography|Damages|Department of Justice|Encryption|Espionage|Evidence (Law)|Executive reorganization|Export controls|Federal advisory bodies|Federal preemption|Financial institutions|Fines (Penalties)|Foreign banks and banking|Government and business|Government paperwork|Government procurement|Government publicity|Import restrictions|Imports|Information networks|Information technology|Intellectual property|International cooperation|Internet service providers|Interstate commerce|Judicial review|Judicial review of administrative acts|Labeling|Law enforcement officers|Liability (Law)|Licenses|Members of Congress|Negotiations|Nontariff trade barriers|Nuclear nonproliferation|Oaths|Obstruction of justice|Probation|Prosecution|Recognition (International law)|Retail trade|Right of privacy|Security classification (Government documents)|Sentences (Criminal procedure)|Standards|State laws,1997-02-12,"To amend title 18, United States Code, to affirm the rights of United States persons to use and sell encryption and to relax export controls on encryption.",Security and Freedom Through Encryption (SAFE) Act of 1997,105,1,,
hr1524-105,Crime and Law Enforcement,Administration of criminal justice|Arkansas|Computer literacy|Consultants|Corporations|Crime prevention|Criminal justice information|Federal aid to higher education|Federal aid to law enforcement|Forensic chemistry|Forensic medicine|Government publicity|Higher education|Law enforcement officers|Licenses|Management|Nonprofit organizations|Police training|Recidivists|Research|Rural crime|Salaries,1997-05-01,"To establish a National Center for Rural Law Enforcement, and for other purposes.",Rural Law Enforcement Assistance Act of 1997,105,1,,
hr2758-105,Crime and Law Enforcement,"Administrative procedure|Administrative remedies|Alternative dispute resolution|Building construction|Citizen participation|Competition|Competitive bidding|Congressional reporting requirements|Construction industries|Data banks|Department of Justice|Economic impact statements|Federal Prison Industries, Inc.|Government and business|Government corporations|Government paperwork|Government procurement|Government publications|Government publicity|Labor unions|Prison labor|Rehabilitation of criminals|Small business|Trade associations|Wages",1997-10-29,"To amend title 18, United States Code, to minimize the unfair competition for Federal contracting opportunities between Federal Prison Industries and private firms (especially small business concerns), to provide to Federal agencies in their dealings with Federal Prison Industries the contract administration tools generally available to assure quality performance by their other suppliers, and for other purposes.",Federal Prison Industries Competition in Contracting Act of 1997,105,1,,
s2484-105,Crime and Law Enforcement,Academic performance|Administration of criminal justice|Administration of juvenile justice|Administrative fees|Administrative procedure|Administrative remedies|Administrative responsibility|Advice and consent of the Senate|Agricultural credit|Agriculture in foreign trade|Air cargo|Aircraft|Airline passenger traffic|Alcoholic beverages|Aliens|Alliances|Ambulatory care|Americans employed in foreign countries|Americans in foreign countries|Ammunition|Anesthetics|Arizona|Armed forces abroad|Arms sales|Arrest|Arson|Assault|Authorization|Bacteria|Bank directors|Bank employees|Bank examination|Bank fraud|Bank records|Bank robberies|Biological weapons|Block grants|Border patrols|Boundaries|Bribery|Business and social problems|Business records|Cabinet officers|California|Capital punishment|Carjacking|Chemical weapons|Chemicals|Child abuse|Child mental health services|Child safety|Child sexual abuse|Claims|Cocaine|Coins and coinage|Commemorations|Communicable diseases|Community centers|Community organization|Community policing|Community service (Punishment)|Compensation for victims of crime|Computer crimes|Computer networks|Computers and government|Congressional investigations,1998-09-16,"A bill to combat violent and gang-related crime in schools and on the streets, to reform the juvenile justice system, target international crime, promote effective drug and other crime prevention programs, assist crime victims, and for other purposes.","Safe Schools, Safe Streets, and Secure Borders Act of 1998",105,1,,
hr2551-106,Crime and Law Enforcement,"Administrative procedure|Administrative remedies|Alternative dispute resolution|Citizen participation|Classified defense information|Compensation for victims of crime|Competitive bidding|Congressional reporting requirements|Construction industries|Construction workers|Corporate profits|Department of Justice|Ex-offenders|Federal Prison Industries, Inc.|Financial statements|Fines (Penalties)|Garnishment|Gifts|Government and business|Government corporations|Government paperwork|Government procurement|Government publications|Government publicity|Government statistics|Imports|Labor statistics|Labor unions|New products|Official secrets|Payroll deductions|Prison administration|Prison labor|Public meetings of administrative bodies|Rehabilitation of criminals|Right of privacy|Small business|Subcontractors|Support of dependents|Trade associations|Unemployment|Vocational and technical education|Wages",1999-07-19,"To amend title 18, United States Code, to require Federal Prision Industries to compete of its Federal contracts to minimize unfair competition with private firms (depriving law-abiding workers of job opportunities), to save taxpayer dollars by empowering Federal contracting officers to be able to acquire commercial products that better meet agencies' needs, more quickly and at less cost without having to obtain permission from Federal Prison Industries, to further empower contracting officers to compel Federal Prison Industries to fully perform its contract obligations to the same extent as all other contractors, and for other purposes.",Federal Prison Industries Competition in Contracting Act of 1999,106,1,,
hr2564-106,Crime and Law Enforcement,Administration of criminal justice|Arkansas|Computer literacy|Computers and government|Corporations|Crime prevention|Criminal justice information|Criminal justice information systems|Criminology|Federal aid to higher education|Federal aid to law enforcement|Federal aid to rural areas|Forensic chemistry|Forensic medicine|Government paperwork|Higher education|Indian law enforcement|Law enforcement officers|Licenses|Management|Minorities|Nonprofit organizations|Police training|Recidivists|Research|Rural crime,1999-07-20,To provide funds to the National Center for Rural Law Enforcement.,Rural Law Enforcement Assistance Act of 1999,106,1,,
hr2896-106,Crime and Law Enforcement,Accounting|Air pollution control|Arms sales|Auditing|Bank accounts|Bank directors|Bank employees|Bank examination|Bank loans|Bank records|Bribery|Computer crimes|Congressional reporting requirements|Credit cards|Destruction of property|Embezzlement|Environmental law enforcement|Export controls|Extradition agreements|Firearms|Foreign agents|Foreign banks and banking|Foreign corporations|Foreign loans|Forgery|Fraud|Government paperwork|Identification devices|Import restrictions|Informers|International monetary system|Laboratory animals|Liability (Law)|Military technology|Misconduct in office|Money laundering|Multilateral development banks|Negotiations|Personnel records|Protection of animals|Public corruption|Recruiting of employees|Savings accounts|Securities industry|Securities regulation|Smuggling|Technology transfer|Terrorism|Treaties|Violence|Wild animal trade,1999-09-21,"To combat money laundering and protect the United States financial system, and for other purposes.",Foreign Money Laundering Deterrence and Anticorruption Act,106,1,,
s1663-106,Crime and Law Enforcement,Accounting|Air pollution control|Arms sales|Auditing|Bank accounts|Bank directors|Bank employees|Bank examination|Bank loans|Bank records|Bribery|Computer crimes|Congressional reporting requirements|Credit cards|Destruction of property|Embezzlement|Environmental law enforcement|Export controls|Extradition agreements|Firearms|Foreign agents|Foreign banks and banking|Foreign corporations|Foreign loans|Forgery|Fraud|Government paperwork|Identification devices|Import restrictions|Informers|International monetary system|Laboratory animals|Liability (Law)|Military technology|Misconduct in office|Money laundering|Multilateral development banks|Negotiations|Personnel records|Protection of animals|Public corruption|Recruiting of employees|Savings accounts|Securities industry|Securities regulation|Smuggling|Technology transfer|Terrorism|Treaties|Violence|Wild animal trade,1999-09-29,"A bill to combat money laundering and protect the United States financial system, and for other purposes.",Foreign Money Laundering Deterrence and Anticorruption Act,106,1,,
hr4419-106,Crime and Law Enforcement,Bank loans|Checks|Civil actions and liability|Civil procedure|Computer crimes|Congressional reporting requirements|Consumer credit|Credit|Credit cards|District courts|Electronic commerce|Electronic funds transfers|Financial institutions|Fines (Penalties)|Foreign banks and banking|Foreign loans|Gambling|Governmental investigations|Indian gambling operations|Indian lands|Injunctions|International cooperation|Internet|Jurisdiction|Liability (Law)|Lotteries|Minorities|Money laundering|Multilateral development banks|Negotiations|Public corruption|Sanctions (International law)|Sentences (Criminal procedure),2000-05-10,"To prevent the use of certain bank instruments for Internet gambling, and for other purposes.",Unlawful Internet Gambling Funding Prohibition Act,106,1,,
s2783-106,Crime and Law Enforcement,Administration of criminal justice|Administration of juvenile justice|Administrative procedure|Administrative remedies|Admission of nonimmigrants|Air pollution control|Alaska|Alcoholic beverages|Alcoholism treatment|Aliens|American economic assistance|American technical assistance|Americans employed in foreign countries|Americans in foreign countries|Ammunition|Amphetamines|Antitrust law|Appropriations|Armed forces abroad|Arms sales|Arrest|Arson|Assault|Authorization|Autopsy|Bank records|Bankruptcy|Biological weapons|Black market|Boats and boating|Border patrols|Boundaries|Bribery|Canada|Capital punishment|Chemical weapons|Chemicals|Child abuse|Child labor|Child mental health services|Child pornography|Child sexual abuse|Child welfare|Children's rights|Citizenship|Civil Service pensions|Civil actions and liability|Coast guard|College students|Community policing|Compensation for victims of crime|Computer crimes|Computer software|Computers|Computers and government|Congressional reporting requirements|Conspiracy|Consumer protection|Contempt of court|Corporations|Counterfeiting|Court records|Crime prevention|Crimes against the elderly|Crimes against women|Criminal aliens,2000-06-26,"A bill entitled the ""21st Century Law Enforcement and Public Safety Act.""",21st Century Law Enforcement and Public Safety Act,106,1,,
s3009-106,Crime and Law Enforcement,Administration of criminal justice|Arkansas|Computer literacy|Computers and government|Corporations|Crime prevention|Criminal justice information|Criminal justice information systems|Criminology|Federal aid to higher education|Federal aid to law enforcement|Federal aid to rural areas|Forensic chemistry|Forensic medicine|Government paperwork|Higher education|Indian law enforcement|Law enforcement officers|Licenses|Management|Minorities|Nonprofit organizations|Police training|Recidivists|Research|Rural crime,2000-09-06,A bill to provide funds to the National Center for Rural Law Enforcement.,Rural Law Enforcement Assistance Act of 2000,106,1,,
s16-107,Crime and Law Enforcement,"AIDS (Disease)|Administration of criminal justice|Administration of juvenile justice|Administrative fees|Administrative procedure|Administrative remedies|Administrative responsibility|Affordable housing|Agricultural credit|Alcohol and youth|Alien property|Aliens|Ambulatory care|Americans in foreign countries|Ammunition|Antitrust law|Arms sales|Arrest|Arson|Assault|Authorization|Awards, medals, prizes|Bank accounts|Bank directors|Bank employees|Bank examination|Bank records|Bank robberies|Bankruptcy|Block grants|Boats and boating|Bombings|Branch banking|Bribery|Building leases|Business and social problems|Business records|Carjacking|Change of venue|Chemicals|Child abuse|Child safety|Child sexual abuse|Citizen participation in crime prevention|Civil actions and liability|Claims|Coins and coinage|Commemorations|Community organization|Community policing|Community service (Punishment)|Community-based corrections|Compensation for victims of crime|Compulsory education|Computers in education|Congressional investigations|Congressional reporting requirements|Conspiracy|Consumer complaints|Consumer education|Continuing education|Corporate accountability|Corporate corruption|Corporations|Correctional institutions|Correctional personnel",2001-01-22,"A bill to improve law enforcement, crime prevention, and victim assistance in the 21st century.","21st Century Law Enforcement, Crime Prevention, and Victims Assistance Act",107,1,,
hr556-107,Crime and Law Enforcement,Administrative procedure|Bank loans|Checks|Civil actions and liability|Civil procedure|Communication satellites|Computer crimes|Congressional reporting requirements|Consumer credit|Credit|Credit cards|Department of the Treasury|District courts|Electronic commerce|Electronic funds transfers|Financial institutions|Fines (Penalties)|Gambling|Governmental investigations|Indian gambling operations|Indian lands|Injunctions|International cooperation|Internet|Internet service providers|Jurisdiction|Liability (Law)|Lotteries|Microwaves|Minorities|Money laundering|Negotiations|Public corruption|Sentences (Criminal procedure)|Space activities|Web sites|Wireless communication,2001-02-12,"To prevent the use of certain bank instruments for unlawful Internet gambling, and for other purposes.",Leach-LaFalce Internet Gambling Enforcement Act,107,1,,
s349-107,Crime and Law Enforcement,Administration of criminal justice|Arkansas|Computer literacy|Computers and government|Corporations|Crime prevention|Criminal justice information|Criminal justice information systems|Criminology|Federal aid to higher education|Federal aid to law enforcement|Federal aid to rural areas|Forensic chemistry|Forensic medicine|Government paperwork|Higher education|Indian law enforcement|Law enforcement officers|Licenses|Management|Minorities|Nonprofit organizations|Police training|Recidivists|Research|Rural crime,2001-02-15,"A bill to provide funds to the National Center for Rural Law Enforcement, and for other purposes.",Rural Law Enforcement Assistance Act of 2001,107,1,,
hr1348-107,Crime and Law Enforcement,Administration of criminal justice|Arkansas|Computer literacy|Computers and government|Corporations|Crime prevention|Criminal justice information|Criminal justice information systems|Criminology|Federal aid to higher education|Federal aid to law enforcement|Federal aid to rural areas|Forensic chemistry|Forensic medicine|Government paperwork|Higher education|Indian law enforcement|Law enforcement officers|Licenses|Management|Minorities|Nonprofit organizations|Police training|Recidivists|Research|Rural crime,2001-04-03,"To provide funds to the National Center for Rural Law Enforcement, and for other purposes.",Rural Law Enforcement Assistance Act of 2001,107,1,,
hr1577-107,Crime and Law Enforcement,"Administrative procedure|Administrative remedies|Advice and consent of the Senate|Alternative dispute resolution|Citizen participation|Classified defense information|Community-based corrections|Compensation for victims of crime|Compensatory education|Competitive bidding|Congressional investigations|Congressional reporting requirements|Construction industries|Construction workers|Corporate profits|Corporation directors|Department of Justice|Elementary and secondary education|Elementary education|Ex-offenders|Executive reorganization|Federal Prison Industries, Inc.|Financial statements|Fines (Penalties)|Forfeiture|Garnishment|Gifts|Government and business|Government contractors|Government corporations|Government paperwork|Government procurement|Government publications|Government publicity|Government statistics|Government trust funds|Imports|Job hunting|Labor statistics|Labor unions|New products|Occupational health and safety|Official secrets|Payroll deductions|Presidential appointments|Prison administration|Prison labor|Profit|Public meetings of administrative bodies|Rehabilitation of criminals|Right of privacy|Secondary education|Service industries|Small business|Subcontractors|Support of dependents|Trade associations|Unemployment|Victims of crimes|Vocational and technical education|Wages",2001-04-24,"To amend title 18, United States Code, to require Federal Prison Industries to compete for its contracts minimizing its unfair competition with non-inmate workers and the firms that employ them and increasing the likelihood that Federal agencies get the best value for taxpayers dollars, to require that Federal Prison Industries fully and timely perform its Government contracts by empowering Federal contracting officers with the contract administration tools generally available to assure full and timely performance of other Government contracts, to enhance the opportunities for effective public participation in decisions to expand the activities of Federal Prison Industries, to provide to Federal agencies temporary preferential contract award authority to ease the transition of Federal Prison Industries to obtaining inmate work opportunites through other than its mandatory source status, to provide additional work opportunities for Federal inmates by authorizing Federal Prison Industries to provide inmate workers to nonprofit entities with protections against commercial activities, and for other purposes.",Federal Prison Industries Competition in Contracting Act of 2002,107,1,,
hr2579-107,Crime and Law Enforcement,Bank loans|Checks|Civil actions and liability|Civil procedure|Computer crimes|Congressional reporting requirements|Consumer credit|Credit|Credit cards|District courts|Electronic commerce|Electronic funds transfers|Financial institutions|Fines (Penalties)|Gambling|Governmental investigations|Indian gambling operations|Indian lands|Injunctions|International cooperation|Internet|Jurisdiction|Liability (Law)|Lotteries|Minorities|Money laundering|Negotiations|Public corruption|Sentences (Criminal procedure),2001-07-20,"To prevent the use of certain bank instruments for Internet gambling, and for other purposes.",Internet Gambling Payments Prohibition Act,107,1,,
